
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 10-Feb-2026 at 09:55:27.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        FAIRTEN4        FAIRTEN5        FAIRTEN6        ANCHTEN1        ANCHTEN2        ANCHTEN3        ANCHTEN4        ANCHTEN5        ANCHTEN6
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)             (N)
    0.2600   1.3549437E+07   1.3558855E+07   1.3805675E+07   1.3810109E+07   1.3642331E+07   1.3628479E+07   1.3568461E+07   1.3575417E+07   1.3837018E+07   1.3844742E+07   1.3720861E+07   1.3706181E+07
    0.2700   1.3532905E+07   1.3543454E+07   1.3818622E+07   1.3823515E+07   1.3635592E+07   1.3620150E+07   1.3550367E+07   1.3559058E+07   1.3855203E+07   1.3863130E+07   1.3708322E+07   1.3691704E+07
    0.2800   1.3516075E+07   1.3527735E+07   1.3831384E+07   1.3836764E+07   1.3629046E+07   1.3612005E+07   1.3533236E+07   1.3543740E+07   1.3873467E+07   1.3881467E+07   1.3694372E+07   1.3675869E+07
    0.2900   1.3499382E+07   1.3512115E+07   1.3843670E+07   1.3849544E+07   1.3622724E+07   1.3604118E+07   1.3516897E+07   1.3529263E+07   1.3891666E+07   1.3899637E+07   1.3679361E+07   1.3659024E+07
    0.3000   1.3483176E+07   1.3496926E+07   1.3855243E+07   1.3861601E+07   1.3616653E+07   1.3596544E+07   1.3501207E+07   1.3515454E+07   1.3909604E+07   1.3917476E+07   1.3663689E+07   1.3641570E+07
    0.3100   1.3467700E+07   1.3482403E+07   1.3865942E+07   1.3872763E+07   1.3610838E+07   1.3589315E+07   1.3486079E+07   1.3502189E+07   1.3927034E+07   1.3934767E+07   1.3647793E+07   1.3623951E+07
    0.3200   1.3453065E+07   1.3468651E+07   1.3875688E+07   1.3882944E+07   1.3605279E+07   1.3582437E+07   1.3471493E+07   1.3489407E+07   1.3943664E+07   1.3951243E+07   1.3632120E+07   1.3606627E+07
    0.3300   1.3439278E+07   1.3455679E+07   1.3884468E+07   1.3892130E+07   1.3599966E+07   1.3575903E+07   1.3457487E+07   1.3477106E+07   1.3959173E+07   1.3966608E+07   1.3617110E+07   1.3590057E+07
    0.3400   1.3426254E+07   1.3443403E+07   1.3892332E+07   1.3900376E+07   1.3594874E+07   1.3569680E+07   1.3444143E+07   1.3465325E+07   1.3973232E+07   1.3980553E+07   1.3603181E+07   1.3574677E+07
    0.3500   1.3413861E+07   1.3431700E+07   1.3899359E+07   1.3907764E+07   1.3589977E+07   1.3563732E+07   1.3431558E+07   1.3454128E+07   1.3985535E+07   1.3992789E+07   1.3590703E+07   1.3560880E+07
    0.3600   1.3401958E+07   1.3420435E+07   1.3905641E+07   1.3914393E+07   1.3585229E+07   1.3558000E+07   1.3419822E+07   1.3443570E+07   1.3995823E+07   1.4003068E+07   1.3579988E+07   1.3548995E+07
    0.3700   1.3390431E+07   1.3409503E+07   1.3911259E+07   1.3920345E+07   1.3580590E+07   1.3552432E+07   1.3408986E+07   1.3433681E+07   1.4003905E+07   1.4011212E+07   1.3571274E+07   1.3539273E+07
    0.3800   1.3379213E+07   1.3398841E+07   1.3916267E+07   1.3925675E+07   1.3576001E+07   1.3546964E+07   1.3399050E+07   1.3424445E+07   1.4009678E+07   1.4017127E+07   1.3564712E+07   1.3531868E+07
    0.3900   1.3368298E+07   1.3388451E+07   1.3920693E+07   1.3930410E+07   1.3571406E+07   1.3541537E+07   1.3389953E+07   1.3415799E+07   1.4013133E+07   1.4020811E+07   1.3560360E+07   1.3526838E+07
    0.4000   1.3357743E+07   1.3378388E+07   1.3924524E+07   1.3934527E+07   1.3566744E+07   1.3536095E+07   1.3381580E+07   1.3407635E+07   1.4014357E+07   1.4022352E+07   1.3558181E+07   1.3524132E+07
    0.4100   1.3347645E+07   1.3368754E+07   1.3927728E+07   1.3937989E+07   1.3561959E+07   1.3530590E+07   1.3373779E+07   1.3399817E+07   1.4013516E+07   1.4021919E+07   1.3558038E+07   1.3523597E+07
    0.4200   1.3338133E+07   1.3359674E+07   1.3930251E+07   1.3940730E+07   1.3557000E+07   1.3524980E+07   1.3366381E+07   1.3392204E+07   1.4010847E+07   1.4019742E+07   1.3559702E+07   1.3524983E+07
    0.4300   1.3329328E+07   1.3351269E+07   1.3932037E+07   1.3942688E+07   1.3551831E+07   1.3519239E+07   1.3359234E+07   1.3384675E+07   1.4006629E+07   1.4016091E+07   1.3562858E+07   1.3527954E+07
    0.4400   1.3321328E+07   1.3343636E+07   1.3933046E+07   1.3943815E+07   1.3546419E+07   1.3513342E+07   1.3352218E+07   1.3377149E+07   1.4001166E+07   1.4011255E+07   1.3567122E+07   1.3532102E+07
    0.4500   1.3314181E+07   1.3336822E+07   1.3933252E+07   1.3944083E+07   1.3540756E+07   1.3507285E+07   1.3345270E+07   1.3369602E+07   1.3994768E+07   1.4005519E+07   1.3572050E+07   1.3536966E+07
    0.4600   1.3307878E+07   1.3330817E+07   1.3932665E+07   1.3943500E+07   1.3534841E+07   1.3501066E+07   1.3338388E+07   1.3362076E+07   1.3987726E+07   1.3999149E+07   1.3577165E+07   1.3542054E+07
